,name,rating,review_count,genre,location,best_comment
531,Chifty شفتي,4.1,(1.7T) , ₹₹₹₹ ,Riyadh Saudi Arabia,"Hip place with global eats, shisha & DJs"
532,روضة الخرارة,4.2,(3.5T) , State park,Al-Muzahmiya Saudi Arabia,"""Among one of the emerging Visiting Places near to Riyadh.."""
533,Al Orjouan,4.3,(705) , Buffet,"Riyadh Saudi Arabia · In The Ritz-Carlton, Riyadh",Buffet restaurant at the Ritz-Carlton
534,Bulalohan sa Riyadh,4.3,(258) , Filipino,Riyadh Saudi Arabia,"""Delicious food and have vedioke for entertainment"""
535,Seafood restaurants,3.3,(4) , Seafood,Riyadh Saudi Arabia,Dine-in·
536,حديقة الوطن,4.2,(8.4T) , Theme park,Riyadh Saudi Arabia,Temporarily closed
537,Subaie heritage house,4.3,(192) , Tourist attraction,Shaqra Saudi Arabia,Temporarily closed
538,WORLD SIGHTS PARK,4.1,(3.1T) , Tourist attraction,Riyadh Saudi Arabia,Temporarily closed
539,منطقة أوايسس | Oasis Zone,4.0,(182) , Tourist attraction,الرياض Saudi Arabia,Temporarily closed
540,Syrup,4.5,(406) , Corporate office,Ad Dilam Saudi Arabia,
541,Chifty شفتي,4.1,(1.7T) , ₹₹₹₹ ,Riyadh Saudi Arabia,"Hip place with global eats, shisha & DJs"
542,روضة الخرارة,4.2,(3.5T) , State park,Al-Muzahmiya Saudi Arabia,"""Among one of the emerging Visiting Places near to Riyadh.."""
543,Al Orjouan,4.3,(705) , Buffet,"Riyadh Saudi Arabia · In The Ritz-Carlton, Riyadh",Buffet restaurant at the Ritz-Carlton
544,Bulalohan sa Riyadh,4.3,(258) , Filipino,Riyadh Saudi Arabia,"""Delicious food and have vedioke for entertainment"""
545,Seafood restaurants,3.3,(4) , Seafood,Riyadh Saudi Arabia,Dine-in·
546,حديقة الوطن,4.2,(8.4T) , Theme park,Riyadh Saudi Arabia,Temporarily closed
547,Subaie heritage house,4.3,(192) , Tourist attraction,Shaqra Saudi Arabia,Temporarily closed
548,WORLD SIGHTS PARK,4.1,(3.1T) , Tourist attraction,Riyadh Saudi Arabia,Temporarily closed
549,منطقة أوايسس | Oasis Zone,4.0,(182) , Tourist attraction,الرياض Saudi Arabia,Temporarily closed
550,موسم الجيمرز,4.3,(68) , Tourist attraction,Riyadh Saudi Arabia,Temporarily closed
551,كريته لاونج - karretah lounge,4.4,(12) , Tourist attraction,Saudi Arabia,Temporarily closed
552,Jammoly World,5.0,(1) , Children's amusement center,Riyadh Saudi Arabia,Temporarily closed
553,Red Sea Beach,4.5,(137) , Children's amusement center,Riyadh Saudi Arabia,Temporarily closed
554,The Secret Room,4.2,(353) , Escape room center,Riyadh Saudi Arabia,Temporarily closed
555,Tim Tech Rimal Center,5.0,(2) , Children's amusement center,Riyadh Saudi Arabia · In Rimal Center,Temporarily closed
556,Mabelle,4.7,(42) , Children's amusement center,Riyadh Saudi Arabia,Temporarily closed
560,RIM rural farm in Dalam,4.4,(266) , Farm,Ad Dilam Saudi Arabia,
561,Chifty شفتي,4.1,(1.7T) , ₹₹₹₹ ,Riyadh Saudi Arabia,"Hip place with global eats, shisha & DJs"
562,روضة الخرارة,4.2,(3.5T) , State park,Al-Muzahmiya Saudi Arabia,"""Among one of the emerging Visiting Places near to Riyadh.."""
563,,4.5,(137) , Children's amusement center,Riyadh Saudi Arabia,Temporarily closed
564,The Secret Room,4.2,(353) , Escape room center,Riyadh Saudi Arabia,Temporarily closed
565,Tim Tech Rimal Center,5.0,(2) , Children's amusement center,Riyadh Saudi Arabia · In Rimal Center,Temporarily closed
566,Mabelle,4.7,(42) , Children's amusement center,Riyadh Saudi Arabia,Temporarily closed
580,موسم الجيمرز,4.3,(68) , Tourist attraction,Riyadh Saudi Arabia,Temporarily closed
581,كريته لاونج - karretah lounge,4.4,(12) , Tourist attraction,Saudi Arabia,Temporarily closed
582,Jammoly World,5.0,(1) ,,,
